,Lat.1.j.,Long.1.j.,Elevation_ds,cz_ds,MAT_ds,MAP_ds,VPD_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
92,65.62052746,21.76526282,34,Dfc,2.005999863,527,7.800000072,100920,18.1,28,53.9,0.0061,48.3,0.1001,4.4,27.61
93,-26.11296091,170.3721652,-2610,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,28.32096489,38.07144617,992,BWh,21.1449999,61,8.550000012,232053,30,29.8,40.2,0.0139,15.4,0.0068,8.1,0.33
95,10.46372319,-75.46138912,8,Aw,27.64891322,1137,35.80999947,229533,35.6,34.5,29.9,0.0132,23.8,0.0274,6.2,3.73
96,-37.15890712,-121.0176448,-4191,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,13.0393692,42.51888676,318,BWh,29.0253334,96,30.10000062,251719,15.9,33.4,50.7,0.0148,23.7,0.0229,8,1.26
98,5.182995271,-151.9075846,-4938,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,-71.610178,-50.07021398,-2050,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,-32.26598651,66.89759329,-5191,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,-5.813722182,37.05493824,1296,Cfb,19.88466676,802,20.94000018,194818,27.7,12.7,59.6,0.0115,16.7,0.0152,6.2,2.4
102,30.3130028,-162.734348,-5716,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,0.769859576,-155.981616,-4374,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,-43.72351606,-81.76527366,-3079,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,3.238682614,-10.31515008,-4758,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,-65.49243816,-82.3571097,-4281,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,13.27656854,-84.31039774,43,Am,25.45300007,2456,33.32999992,235379,36.6,29.9,33.5,0.0117,20.1,0.0566,5.7,4.95
108,54.91528202,43.30347732,140,Dfb,3.979000072,515,8.669999957,121200,30.9,32.5,36.6,0.0098,34.6,0.0823,5.8,7.07
109,-46.50959743,-92.38919738,-4105,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,6.700203974,-68.3624457,78,Aw,27.60266638,2042,32.83999991,200760,NA,NA,NA,NA,NA,NA,NA,NA
111,60.24750391,175.6183577,-3429,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,43.89635096,150.9878458,-6461,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,58.13582434,-45.98412755,-2441,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,-19.91948681,-118.1836737,-3581,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,-18.174558,6.583210789,-5306,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,30.16411647,-117.8491749,-2972,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,19.78013457,98.30665966,835,Aw,22.30900002,1196,23.87000012,222521,25.1,27.1,47.8,0.0119,16.4,0.0245,5.7,2.96
