Site ID,Lat,Long,Elevation,Elevation_ds,Vegetation,Climate,Climate_ds,MAT,MAT_ds,MAP,MAP_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
JP-TMK,42.7395,141.5149,140,124,DNF,Dfb,Dfb,6.9,6.386666556,1121,1206,143235,16.3,38.7,44.9,0.0102,30.5,0.0685,5.4,7.5
JP-TOE,42.694076,141.583128,60,56,DBF,Dfb,Dfb,6.9,6.625000119,1121,1192,142885,19.7,35.9,44.4,0.0104,29.3,0.0661,5.3,7.23
JP-SHD,42.4,142.466667,125,65,CRO,Dfb,Dfb,7.1,7.230333363,1151,1082,147100,22.9,33.1,44,0.0104,30.4,0.0671,5.8,5.35
NZ-Sco,-37.46,175.22,NA,1,GRA,Cfb,Cfb,14.4,14.23166656,1126,1269,179457,NA,NA,NA,NA,NA,NA,NA,NA
NZ-Bfm,-43.593,171.928,NA,206,CRO,Cfb,Cfb,NA,11.03866676,900,788,166453,22.1,23.6,54.3,0.0107,35.6,0.0453,6.2,8.43
NZ-Oxf,-43.2619,172.2108,NA,244,GRA,Cfb,Cfb,NA,10.89866662,975,903,165148,18.9,27.3,53.9,0.01,31.3,0.0474,6.2,8.71
AU-Cas,-19.5667,147.4,NA,11,CRO,Aw,Aw,NA,23.81900009,2000,1290,242572,25.5,20.9,53.5,0.0124,13.4,0.0104,6.6,1.97
CN-Ha2,37.6086,101.3269,NA,3215,WET,NA,ET,NA,-0.71233321,NA,468,189801,18.3,37.9,43.8,0.0117,22.3,0.0474,7.7,5.54
CN-Du3,42.0551,116.2809,NA,1323,GRA,NA,Dwb,NA,2.69933335,NA,399,185574,17.6,26.8,55.6,0.0134,21.3,0.0299,8,1.45
NZ-Bfu,-43.59,171.93,204,206,CRO,Cfb,Cfb,NA,11.03866676,NA,788,NA,22.7,23.6,53.7,0.0106,33.6,0.0433,6.2,8.01
NZ-ADn,-43.65,172.35,34,36,CRO,Cfb,Cfb,NA,11.75133348,NA,660,NA,19.4,20.9,59.6,0.0096,30.9,0.0399,6.4,7.27
NZ-ADw,-43.64,172.35,33,47,CRO,Cfb,Cfb,NA,11.75133348,NA,660,NA,17.8,21.9,60.3,0.0095,31.3,0.0439,6.5,7.61
AU-Cm1,-34.76,146.02,120,125,CRO,Bsk,BSk,NA,16.52799996,NA,425,NA,31.8,14.7,53.6,0.0121,20,0.0209,6.6,1.63
AU-Cm2,-34.93,145.82,120,118,CRO,Bsk,BSk,NA,16.58633351,NA,409,NA,42.9,13.3,43.8,0.0115,18.5,0.0179,6.8,1.74
