Site ID,Lat,Long,Elevation,Elevation_ds,Vegetation,Climate,Climate_ds,MAT,MAT_ds,MAP,MAP_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
US-PeA,31.4123,-106.0788,1092,1088,DBF,Bwk,BSk,14.72,17.12,232.66,213,234843,23.6,33.6,42.8,0.0142,13.8,0.0196,7.6,1.32
US-PFa,45.9459,-90.2723,470,475,MF,Dfb,Dfb,4.33,4.39,823,824,148364,10.2,30.6,59.2,0.0109,20.7,0.0633,5.1,6.23
US-PFb,45.972,-90.3232,474,466,ENF,Dfb,Dfb,4.33,4.38,823,829,148090,10.2,32.8,57,0.0112,19.1,0.0573,5.1,5.24
US-PFc,45.9677,-90.3088,473,468,DBF,Dfb,Dfb,4.33,4.38,823,829,148149,10.6,31.7,57.7,0.0112,19.3,0.0571,5.1,5.02
US-PFd,45.9689,-90.301,473,468,WET,Dfb,Dfb,4.33,4.38,823,829,148104,11.1,32.2,56.7,0.011,18.5,0.0626,5.1,5.67
US-PFe,45.9793,-90.3004,480,471,WAT,Dfb,Dfb,4.33,4.38,823,829,147725,10.7,33.2,56.1,0.0112,18.2,0.0699,5.1,6.59
US-PFf,45.9458,-90.2944,464,470,GRA,Dfb,Dfb,4.33,4.44,823,825,148007,10.3,32.1,57.6,0.0112,18.5,0.069,5.2,5.29
US-PFg,45.9735,-90.2723,475,476,ENF,Dfb,Dfb,4.33,4.34,823,828,148357,10.8,29.2,60,0.0115,20.6,0.0592,5.1,5.62
US-PFh,45.9557,-90.2406,463,480,ENF,Dfb,Dfb,4.33,4.37,823,827,148404,8.6,29.3,62.1,0.0112,21.2,0.0647,5.1,5.62
US-PFi,45.9749,-90.2327,488,484,DBF,Dfb,Dfb,4.33,4.31,823,834,148537,8.5,32.4,59.1,0.0112,20.4,0.0615,5,5.82
US-PFj,45.9619,-90.227,484,484,DBF,Dfb,Dfb,4.33,4.31,823,834,148525,8.2,29.8,61.9,0.0111,19.8,0.0664,5.1,5.25
US-PFk,45.9149,-90.3425,476,462,DBF,Dfb,Dfb,4.33,4.51,823,817,148027,11.9,28.5,59.7,0.0112,20.2,0.0616,5,5.81
US-PFL,45.9409,-90.3177,464,463,DBF,Dfb,Dfb,4.33,4.44,823,825,147696,12,31.1,56.9,0.0114,16.3,0.0539,5.1,6.22
US-PFm,45.9207,-90.3099,484,466,DBF,Dfb,Dfb,4.33,4.44,823,825,147840,10.1,32,57.9,0.0108,17.9,0.0541,5.1,5.92
US-PFn,45.9392,-90.2823,478,470,DBF,Dfb,Dfb,4.33,4.39,823,824,148293,8.8,31.9,59.3,0.011,20.7,0.0629,5,5.95
US-PFo,45.9229,-90.2728,476,472,WAT,Dfb,Dfb,4.33,4.39,823,824,148012,10.4,31,58.6,0.0115,19.7,0.0642,5.1,6.52
US-PFp,45.9365,-90.2641,497,472,DBF,Dfb,Dfb,4.33,4.39,823,824,148504,8.8,27.3,63.9,0.0112,20.6,0.0661,5,5.27
US-PFq,45.9271,-90.2475,473,474,DBF,Dfb,Dfb,4.33,4.37,823,827,148357,8.4,28.2,63.4,0.0111,20.8,0.0683,5.1,6.54
US-PFr,45.9245,-90.2475,490,474,WET,Dfb,Dfb,4.33,4.37,823,827,148013,8.6,28.6,62.9,0.0109,21.9,0.0741,5.1,6.54
US-PFs,45.9381,-90.2382,489,479,DBF,Dfb,Dfb,4.33,4.37,823,827,148453,7.9,25.4,66.6,0.0109,21.9,0.0786,5,6.01
US-PFt,45.9197,-90.2288,466,476,ENF,Dfb,Dfb,4.33,4.37,823,827,148025,9,27.2,63.8,0.0109,20.4,0.0587,5,6.66
US-PHM,42.7423,-70.8301,1.4,3,WET,Dfa,Dfb,7.2,9.34,1262,1089,157652,21,43.5,35.6,0.0119,31.8,0.0987,5.5,11.19
US-PiU,26.0004,-80.9261,3.04,7,WET,Cwa,Am,23.1,23.62,1312,1341,211892,12,18.8,69.2,0.0102,27.8,0.1879,6.7,12.24
US-PLM,42.7345,-70.8382,1,3,WET,Dfa,Dfb,8.7,9.27,1262,1093,157556,NA,NA,NA,NA,NA,NA,NA,NA
US-PLo,42.7496,-70.9157,1.4,18,WET,Dfa,Dfb,8.7,9.16,1262,1098,157046,15.1,43.7,41.3,0.0113,36.8,0.1217,5.3,11.71
US-Pnp,43.0896,-89.4158,260,263,WAT,Dfa,Dfb,7.94,7.87,875,818,160108,NA,NA,NA,NA,NA,NA,NA,NA
US-Pon,36.7667,-97.1333,310,317,CRO,Cfa,Cfa,14.94,14.79,866.34,905,189587,35.3,50.7,14,0.0146,22.2,0.0225,6.3,2.32
US-Prr,65.1237,-147.4876,210,190,ENF,Dwc,Dfc,-2,-3.25,275,319,97527,9.9,63.4,26.7,0.0035,52.6,0.0777,5.1,33.25
